"id","leeftijd","sekse","opleiding","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
229,21,"man",3,3,5,6,5,6,5,6,5,2,1,3,1,4,6,5,3,5,3,3,1,4,1,4,4,3
230,22,"vrouw",3,1,5,,6,5,5,5,6,1,1,1,2,4,6,6,4,4,3,2,2,6,1,5,6,2
231,41,"vrouw",5,4,5,5,5,5,5,4,5,2,4,2,2,4,5,5,2,3,2,1,1,5,4,4,4,1
232,40,"man",3,1,6,4,6,6,5,4,5,1,2,5,1,5,4,6,1,2,2,1,1,4,2,5,5,3
233,44,"vrouw",5,4,3,4,2,5,5,5,5,2,2,2,2,3,3,6,4,4,3,3,2,6,1,4,6,1
234,25,"man",3,3,5,5,5,5,4,3,3,3,5,3,4,3,5,5,4,5,2,2,2,5,4,4,5,5
235,15,"vrouw",,5,2,1,1,2,2,1,2,5,6,2,5,2,4,2,3,6,4,5,3,5,6,2,6,4
236,24,"man",3,3,3,3,4,4,5,2,5,2,3,4,2,3,5,4,2,2,2,3,2,2,3,2,4,5
237,22,"vrouw",1,3,5,4,5,5,4,2,4,4,4,3,4,6,6,6,3,4,2,2,1,5,1,3,5,3
238,19,"vrouw",3,3,5,6,6,5,4,4,6,3,3,3,4,4,5,4,1,1,2,3,2,5,4,4,5,3
239,23,"vrouw",3,4,5,5,6,4,6,5,5,2,2,5,5,4,4,4,2,4,2,6,2,5,2,4,4,2
240,38,"vrouw",3,6,1,1,4,6,5,6,5,1,1,1,1,5,6,6,1,1,1,1,1,5,1,6,1,1
241,26,"man",2,3,5,5,6,6,6,6,6,1,1,1,2,4,4,6,1,1,1,2,2,3,2,4,2,1
242,46,"vrouw",3,5,5,5,6,6,5,4,5,2,2,4,1,5,6,5,1,1,2,5,1,6,5,4,4,4
243,24,"vrouw",2,3,4,4,5,3,4,4,4,2,2,4,3,3,3,5,3,3,3,2,2,5,4,4,4,3
244,18,"vrouw",1,5,6,5,5,6,5,4,6,1,2,1,3,5,6,5,1,4,1,3,2,4,5,4,6,2
245,48,"man",2,1,6,5,6,5,3,3,5,4,4,4,5,4,3,5,2,2,3,5,4,5,3,5,6,2
246,30,"vrouw",3,1,6,6,6,5,6,4,4,1,5,1,1,6,3,3,3,5,5,2,4,6,6,4,6,1
247,22,"man",2,4,4,6,5,4,4,5,3,5,4,2,4,4,5,3,2,4,2,3,3,5,4,4,4,4
248,20,"man",3,5,5,5,1,5,6,5,2,6,6,4,4,6,3,3,5,4,4,5,4,6,6,6,6,4
249,36,"man",5,3,4,4,3,2,6,5,5,1,3,2,5,5,2,5,4,5,3,6,1,6,1,6,6,1
250,18,"man",1,6,6,6,6,6,5,5,6,6,1,1,1,6,6,6,6,3,2,2,5,1,2,6,6,6
251,27,"man",3,2,6,5,6,5,6,5,5,1,1,5,1,5,5,6,5,4,2,2,1,6,1,5,6,2
252,30,"vrouw",2,4,1,4,6,6,6,4,4,2,6,1,1,6,6,5,1,2,1,1,1,4,3,4,2,5
253,18,"man",3,3,5,4,5,5,5,6,5,2,1,3,3,4,6,5,1,2,2,1,2,4,5,3,4,3
254,20,"man",3,2,4,5,5,5,4,4,4,2,3,3,4,3,5,3,5,5,2,4,4,4,4,4,2,2
255,55,"vrouw",3,1,5,5,5,5,5,4,5,1,1,2,2,3,5,5,1,2,2,2,2,2,2,5,4,2
256,17,"vrouw",3,1,6,6,5,5,5,6,5,2,5,4,4,3,6,5,3,4,2,2,6,4,2,5,5,3
257,28,"man",4,4,5,4,3,4,4,4,5,4,5,4,4,4,4,5,2,2,5,5,3,6,2,3,6,6
258,19,"vrouw",3,3,5,4,5,5,5,5,3,4,6,1,6,5,6,6,6,6,5,4,5,6,6,3,4,2
259,16,"vrouw",,1,6,6,6,6,6,5,6,1,3,1,1,6,6,6,1,1,1,3,3,6,1,6,5,3
260,31,"man",1,1,5,6,6,6,5,6,6,5,1,4,1,6,6,5,5,1,5,5,2,6,5,5,5,2
261,50,"vrouw",3,2,4,4,4,5,4,5,4,2,4,1,1,5,6,6,4,5,6,4,4,6,3,5,4,1
262,31,"vrouw",3,3,5,6,6,6,4,5,6,3,1,2,1,5,2,6,5,4,1,2,3,4,5,5,6,4
263,27,"vrouw",5,1,5,6,5,6,6,5,5,1,2,2,1,5,5,6,2,2,2,2,1,5,1,6,4,2
264,16,"man",3,1,4,4,2,5,5,4,3,2,4,5,5,4,2,3,4,4,4,5,4,4,2,2,5,4
265,18,"man",3,4,6,6,6,5,4,4,5,2,5,1,1,4,5,5,4,5,4,4,5,5,1,6,6,1
266,20,"vrouw",3,2,6,5,6,3,3,3,5,3,5,1,4,3,5,2,4,5,6,4,4,2,4,3,6,3
267,21,"man",3,3,4,5,4,4,4,4,3,4,5,5,4,3,3,4,5,5,3,3,3,4,3,5,5,3
268,32,"vrouw",5,2,6,6,6,6,5,4,5,1,1,1,1,5,5,5,4,3,2,2,3,5,1,5,4,2
269,30,"vrouw",3,2,2,2,4,3,3,2,4,4,6,4,4,3,3,3,1,3,3,5,1,4,6,3,4,4
270,24,"vrouw",3,2,5,4,6,4,4,5,4,3,4,1,3,3,4,4,4,4,5,3,5,4,4,4,4,2
271,35,"vrouw",1,3,4,6,6,4,4,4,5,5,4,2,4,4,3,3,6,6,6,4,5,3,4,5,4,4
272,19,"vrouw",3,1,5,5,6,5,5,4,5,2,1,1,3,5,6,5,3,4,4,3,4,5,3,4,4,2
273,23,"vrouw",3,2,5,6,5,4,3,5,5,2,1,4,5,4,1,6,6,6,6,6,4,4,2,6,6,2
274,16,"vrouw",,2,4,2,4,4,5,3,5,2,3,6,4,4,5,5,4,4,3,3,2,5,2,5,5,4
275,21,"man",4,1,6,6,6,6,6,4,4,3,4,1,1,6,6,6,1,2,4,2,2,6,1,6,6,1
276,22,"vrouw",3,1,6,6,6,5,5,4,6,2,2,2,4,4,6,3,5,6,3,2,4,3,5,3,3,1
277,20,"vrouw",3,1,5,5,6,5,2,4,5,5,5,3,5,5,5,2,3,4,4,4,2,1,4,3,5,4
278,26,"man",4,2,5,5,5,5,5,5,5,2,1,2,2,4,5,5,1,1,1,1,1,5,1,5,2,2
279,19,"man",3,3,4,5,5,5,4,4,5,4,4,5,4,3,,4,3,4,2,4,4,3,5,3,3,4
280,25,"vrouw",5,3,6,5,5,5,4,4,5,4,4,1,2,5,6,6,4,4,4,3,5,6,2,5,4,3
281,28,"vrouw",5,1,5,6,4,6,5,3,3,4,5,1,1,5,6,5,4,6,6,5,6,6,2,6,5,1
282,17,"vrouw",,5,6,6,6,6,4,5,4,3,5,1,2,4,6,6,4,5,1,2,3,6,6,5,6,2
283,16,"vrouw",,1,6,6,1,5,5,6,6,5,6,1,3,6,5,5,4,4,1,2,2,5,3,4,5,5
284,17,"man",,3,4,4,4,3,3,2,2,4,6,5,3,4,4,5,4,5,2,3,1,4,2,5,5,3
285,29,"man",1,4,5,5,6,6,3,5,6,2,1,6,6,1,5,6,2,3,3,2,1,5,3,1,3,4
286,19,"vrouw",2,3,4,4,3,4,4,4,4,4,3,3,4,3,4,3,4,4,3,3,3,4,3,4,4,3
287,47,"vrouw",4,1,5,5,6,5,5,6,2,1,5,3,3,5,6,4,2,4,5,4,4,6,1,6,6,1
288,52,"vrouw",4,1,5,5,5,4,4,4,4,2,2,4,4,4,2,5,1,2,1,1,2,4,2,5,6,2
289,22,"vrouw",4,2,6,6,5,5,5,2,6,5,5,6,5,3,4,2,2,2,2,4,2,4,5,3,4,3
290,18,"man",3,3,5,6,4,5,4,3,5,3,4,1,2,4,5,4,2,3,5,4,3,4,3,5,6,5
291,30,"vrouw",3,4,5,4,5,4,5,5,4,1,1,2,2,4,5,5,3,4,4,4,4,5,1,5,4,1
292,31,"man",3,5,2,3,2,3,5,4,3,2,3,4,5,4,4,1,2,4,5,5,4,5,1,5,6,3
293,56,"man",2,1,6,5,6,5,5,6,6,2,1,5,2,5,1,6,5,4,5,4,2,6,5,3,6,5
294,28,"vrouw",4,3,4,4,4,4,6,6,5,1,2,2,2,5,5,6,2,2,2,2,4,5,6,6,6,4
295,23,"vrouw",3,1,6,5,4,5,6,5,5,1,2,1,4,1,5,4,2,4,4,2,6,2,1,4,6,4
296,20,"vrouw",3,2,5,5,6,5,4,4,4,1,2,3,2,4,5,5,1,1,1,2,1,5,2,4,5,2
297,27,"vrouw",2,1,6,6,6,6,5,4,6,1,2,1,2,6,6,6,1,4,4,1,1,5,4,6,4,4
298,25,"man",2,3,5,5,6,1,6,5,5,4,6,1,1,6,3,6,6,6,6,5,1,6,1,6,3,1
299,27,"vrouw",2,2,4,4,6,2,5,5,5,2,1,3,6,5,4,5,5,5,6,5,5,5,2,4,6,1
300,56,"vrouw",,3,5,6,4,6,2,1,5,6,6,1,1,5,5,1,1,1,3,6,4,6,2,2,4,1
301,18,"vrouw",3,3,5,4,2,2,4,4,4,2,2,4,4,2,4,4,5,6,6,6,6,5,1,3,6,2
302,18,"man",1,2,5,3,2,2,5,3,4,4,4,2,2,4,4,5,2,2,4,2,2,4,2,5,6,1
303,21,"man",3,2,6,6,6,6,4,5,5,1,2,2,2,3,5,6,2,3,3,1,1,5,2,3,2,1
304,19,"man",2,2,2,6,2,2,6,6,6,1,2,6,2,6,1,6,5,5,5,5,1,6,1,6,6,1
305,18,"vrouw",2,2,6,6,6,6,4,5,4,2,2,1,1,5,6,5,2,2,2,1,2,4,1,5,5,4
306,29,"man",4,5,2,2,2,5,5,5,6,2,5,4,5,3,3,3,5,5,5,6,5,5,1,5,6,1
307,33,"man",4,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3
308,31,"man",3,3,3,4,6,3,4,4,3,4,4,5,5,2,3,5,4,5,4,4,2,5,2,3,4,3
309,33,"vrouw",5,1,6,5,6,5,5,5,5,2,4,2,2,5,5,5,2,4,2,4,1,5,1,6,6,1
310,45,"vrouw",4,1,5,4,5,6,6,6,2,6,6,1,1,6,6,6,6,6,6,6,5,6,5,6,6,1
311,44,"vrouw",5,2,2,5,4,4,5,5,4,3,5,5,5,4,5,4,3,2,4,4,2,6,2,6,6,2
312,18,"vrouw",3,1,6,6,6,4,5,5,3,4,5,4,4,4,5,3,4,4,5,6,4,6,1,6,6,1
313,45,"vrouw",4,4,4,3,2,3,4,4,5,2,3,2,4,4,1,5,6,6,5,5,5,4,1,5,5,4
314,18,"vrouw",2,1,4,6,6,6,5,6,4,1,1,3,4,6,6,6,1,3,3,4,2,6,1,6,5,1
315,29,"vrouw",3,3,5,5,5,5,3,5,5,2,1,1,1,5,6,5,6,6,5,5,3,5,5,6,6,4
316,51,"vrouw",1,1,6,6,6,6,6,6,6,1,1,5,1,6,6,6,1,6,1,1,1,6,1,3,6,1
317,50,"vrouw",2,2,5,5,6,4,3,3,4,4,2,5,5,4,3,3,2,4,5,6,4,4,5,4,5,4
318,36,"vrouw",2,1,5,4,3,2,6,5,2,1,5,2,2,1,2,2,4,4,5,5,2,4,3,4,5,3
319,18,"vrouw",,3,5,3,4,4,3,2,5,4,5,2,5,3,3,4,4,5,4,2,2,4,5,3,5,4
320,38,"vrouw",5,2,4,2,6,5,5,4,4,6,5,5,6,3,3,5,4,4,4,3,4,3,2,2,2,4
321,17,"vrouw",3,1,6,5,6,5,5,6,4,2,4,1,1,5,6,6,2,2,4,2,2,4,5,6,5,1
322,53,"vrouw",5,2,4,4,6,5,4,4,4,3,4,1,1,5,5,6,2,4,3,3,1,6,1,6,4,2
323,35,"vrouw",5,1,5,5,5,5,5,4,5,3,3,3,2,5,5,5,5,5,4,4,3,6,4,6,6,2
324,21,"vrouw",3,2,4,5,6,5,4,3,3,5,5,5,4,5,3,1,3,4,4,5,5,4,2,4,5,2
325,29,"man",3,5,5,5,6,5,4,5,6,4,3,5,4,4,4,6,6,6,6,5,4,3,6,3,5,4
326,36,"vrouw",5,2,5,5,6,5,6,6,5,1,3,1,1,4,4,6,4,4,1,5,3,5,2,4,6,1
327,19,"vrouw",3,2,5,1,6,4,4,4,6,4,2,4,3,4,5,4,3,5,4,4,4,4,4,5,5,4
328,23,"vrouw",3,4,6,6,4,4,6,4,6,1,4,1,5,5,2,5,4,6,4,2,5,6,3,4,6,2
329,39,"vrouw",2,2,5,5,6,5,5,5,5,1,1,2,2,4,5,4,3,4,4,4,4,4,3,4,5,3
330,19,"vrouw",3,3,5,1,4,4,2,4,4,4,4,4,2,5,4,5,4,4,5,2,1,5,1,6,5,1
331,17,"vrouw",,2,5,5,4,5,4,4,5,3,2,4,5,5,6,3,5,6,2,1,4,4,5,4,3,3
332,18,"vrouw",3,2,3,6,4,5,3,3,5,3,4,3,1,6,5,6,1,2,4,4,1,6,5,6,6,4
333,25,"vrouw",3,1,5,5,6,5,5,5,5,2,4,4,,4,5,3,3,5,4,4,4,5,5,4,5,3
334,15,"vrouw",,4,2,5,5,5,4,4,3,4,6,4,2,3,3,4,2,2,4,3,2,4,3,3,5,4
335,20,"man",3,1,5,5,5,4,5,4,5,4,5,5,5,1,2,4,5,5,2,3,3,4,2,5,6,1
336,14,"vrouw",,2,5,5,6,6,4,5,2,4,4,6,5,5,4,4,1,3,4,4,6,5,2,5,5,3
337,20,"vrouw",3,4,3,6,6,6,5,6,5,1,3,1,1,3,5,6,1,6,4,2,1,5,1,5,1,2
338,25,"man",1,3,4,6,6,6,6,4,5,1,2,4,1,5,4,5,5,5,4,4,6,4,4,5,5,2
339,64,"vrouw",5,1,6,1,6,5,4,1,2,5,6,1,1,5,5,6,2,4,6,6,5,6,1,6,6,1
340,18,"vrouw",2,1,5,3,6,5,2,5,5,1,2,2,4,6,5,5,1,2,2,3,3,6,1,5,6,1
341,20,"vrouw",3,1,6,6,4,5,4,5,2,3,6,3,4,4,6,4,2,4,4,2,5,5,1,4,5,2
342,19,"vrouw",1,4,5,2,6,5,3,2,4,3,6,1,5,4,3,2,5,6,2,2,5,4,2,4,5,3
343,32,"vrouw",5,1,6,5,3,6,5,6,6,1,2,4,4,4,6,5,4,4,3,2,1,6,1,5,6,1
344,49,"man",2,,5,4,3,4,4,3,3,3,4,4,2,4,4,4,3,3,4,3,2,5,2,4,4,3
345,45,"man",2,4,6,5,6,6,5,5,5,5,4,1,1,6,6,6,4,4,6,4,1,6,2,6,6,2
346,18,"man",1,1,6,5,2,2,4,1,5,6,6,6,6,3,2,1,4,5,5,5,2,5,6,5,6,2
347,28,"vrouw",5,6,6,6,6,6,3,6,2,5,5,2,2,6,6,6,6,6,6,6,6,6,5,5,6,2
348,22,"vrouw",5,1,4,2,5,3,5,5,5,3,4,4,5,3,3,2,2,2,3,4,5,4,2,4,5,2
349,25,"vrouw",4,3,5,4,4,3,5,5,4,2,4,5,2,3,4,4,4,4,4,3,2,6,1,5,5,2
350,34,"vrouw",5,1,6,6,6,6,6,5,4,1,1,1,1,6,6,6,1,1,1,1,1,6,1,6,6,1
351,42,"vrouw",5,2,5,5,5,3,5,5,5,1,4,4,4,3,3,5,4,4,4,4,2,6,1,5,4,1
352,37,"vrouw",3,1,5,3,5,4,5,4,3,1,4,3,2,4,5,5,3,4,2,3,2,5,4,4,5,1
353,42,"vrouw",3,1,6,5,6,6,6,6,6,1,1,1,1,4,6,5,1,1,1,1,1,6,1,6,6,1
354,23,"vrouw",5,1,5,5,6,4,5,5,4,1,1,3,3,3,4,5,2,2,2,2,4,5,1,5,5,1
355,29,"vrouw",4,4,4,5,1,5,5,4,4,2,5,1,4,6,6,5,3,4,4,2,5,3,3,5,6,5
356,18,"man",2,2,3,4,1,2,3,5,3,1,1,6,6,1,2,3,1,1,2,2,2,5,2,3,5,3
357,22,"vrouw",3,2,6,6,4,6,6,5,5,3,2,1,1,3,6,5,1,1,1,1,1,5,1,5,1,6
358,30,"vrouw",3,4,6,6,6,5,4,5,6,,1,1,3,6,6,6,1,6,6,3,4,6,1,6,5,1
359,38,"vrouw",3,4,4,4,4,5,5,5,4,2,3,4,2,4,4,5,2,4,5,4,5,4,1,4,5,3
360,53,"vrouw",2,2,6,5,6,3,5,6,5,2,3,3,2,5,5,5,3,5,5,1,4,4,2,4,6,2
361,28,"man",3,2,4,4,6,,5,4,5,4,4,6,4,4,5,2,1,2,3,4,2,3,1,2,4,5
362,18,"man",3,5,6,6,5,6,5,6,2,2,4,3,4,5,5,5,3,3,2,4,3,6,4,5,6,4
363,31,"vrouw",4,1,5,6,6,6,6,5,5,1,1,2,4,5,6,5,2,3,2,2,4,5,1,4,5,2
364,32,"vrouw",1,2,5,5,4,6,5,5,5,2,2,5,4,5,4,5,1,1,1,1,3,5,4,4,4,2
365,15,"vrouw",,1,6,5,5,6,3,4,5,5,6,4,5,6,6,4,4,4,4,6,4,6,1,6,6,3
366,23,"vrouw",2,4,2,4,6,5,5,5,4,1,2,3,2,3,5,5,3,4,2,1,1,3,4,1,4,2
367,34,"vrouw",4,2,5,5,4,4,2,3,3,4,3,1,6,4,3,6,4,5,4,4,2,6,2,5,6,2
368,29,"man",5,2,6,6,6,6,5,5,5,1,5,5,1,5,5,6,5,5,5,4,2,6,2,6,5,1
369,51,"vrouw",3,1,6,2,6,5,5,5,5,4,2,2,6,1,4,5,4,2,1,2,3,6,5,3,6,5
370,22,"vrouw",3,1,6,6,6,6,6,5,3,3,4,2,1,5,5,6,2,4,4,3,1,6,1,6,6,2
371,38,"vrouw",3,2,5,5,6,4,4,5,4,2,3,2,3,4,4,5,3,3,1,1,2,5,1,4,4,2
372,36,"vrouw",2,4,4,,3,4,5,3,4,3,3,2,2,3,3,5,3,3,2,2,2,5,2,3,4,5
373,19,"vrouw",3,1,5,3,4,4,6,4,4,1,1,3,4,3,5,5,3,3,3,1,3,4,4,3,4,3
374,33,"vrouw",3,2,6,5,4,5,5,2,5,3,2,2,4,4,6,4,5,5,4,4,5,2,4,4,5,3
375,40,"vrouw",1,1,5,5,6,5,5,4,4,4,4,1,2,4,6,4,4,5,5,3,5,2,2,6,5,2
376,26,"vrouw",5,3,4,3,5,5,3,2,2,3,2,4,2,3,4,3,2,3,2,3,1,5,3,4,4,4
377,12,"vrouw",,1,6,6,5,2,4,2,2,5,4,6,1,5,6,1,3,5,4,4,2,6,1,4,6,3
378,30,"vrouw",3,3,5,5,4,4,5,5,6,1,1,2,1,4,5,5,4,4,2,1,2,5,1,5,5,1
379,32,"vrouw",3,4,5,5,4,5,2,6,6,1,1,6,1,5,5,5,4,5,3,4,5,6,1,6,5,1
380,30,"man",2,4,3,2,5,3,4,2,4,4,5,5,4,4,4,2,5,4,5,5,3,6,1,6,6,3
381,32,"vrouw",4,1,4,6,5,6,5,6,5,1,1,2,2,6,6,4,4,4,2,1,1,5,1,6,5,2
382,29,"vrouw",5,1,5,6,6,3,5,5,4,2,4,1,3,4,5,5,5,5,4,5,5,5,2,5,6,1
383,27,"man",3,3,4,4,5,4,5,5,6,1,2,3,3,2,4,5,4,4,4,2,1,5,3,2,3,4
384,48,"vrouw",3,3,4,5,2,3,5,3,4,1,1,6,5,2,1,3,3,3,2,3,2,5,5,2,2,5
385,39,"vrouw",4,1,6,5,6,5,4,4,5,2,5,3,2,5,5,4,1,1,1,1,1,6,1,4,5,2
386,22,"vrouw",3,3,6,6,6,4,5,2,5,4,3,4,2,3,4,5,4,4,6,5,4,3,6,1,5,4
387,26,"vrouw",3,1,6,3,5,3,2,3,2,3,4,4,2,3,3,4,4,6,6,6,6,6,1,4,6,1
388,26,"vrouw",3,1,2,1,4,2,6,5,5,1,1,6,6,4,1,3,2,5,1,5,5,6,1,5,6,1
389,39,"vrouw",2,3,5,5,6,3,5,2,4,1,5,1,1,3,3,5,5,5,2,2,2,6,1,6,4,1
390,32,"vrouw",3,4,6,5,6,6,5,3,2,3,5,1,2,3,4,5,4,4,5,1,5,6,3,4,4,5
391,52,"vrouw",3,1,5,6,6,6,1,5,6,4,1,6,6,3,2,5,4,1,2,6,6,6,5,2,6,5
392,40,"vrouw",3,3,5,5,6,5,5,4,5,2,3,2,4,4,5,4,4,5,5,5,4,5,2,3,5,4
393,40,"vrouw",2,3,6,5,6,6,5,6,5,1,3,1,2,5,6,6,2,4,3,2,2,5,3,5,4,3
394,40,"vrouw",3,1,6,6,6,6,1,5,6,1,1,1,6,5,5,1,1,3,1,2,1,6,1,5,6,1
395,40,"vrouw",3,1,6,4,6,6,5,6,4,3,4,3,2,5,6,2,5,6,6,6,6,6,6,6,6,1
396,23,"vrouw",3,1,6,6,5,6,6,5,6,2,2,5,4,5,3,3,1,5,5,5,6,6,5,3,6,1
397,26,"vrouw",3,5,,5,6,5,6,6,5,1,2,5,2,6,3,6,4,3,2,4,1,6,1,3,2,1
398,51,"vrouw",2,2,6,6,6,6,6,6,5,1,1,1,1,6,5,6,1,1,2,2,1,6,1,6,5,1
399,20,"vrouw",3,1,6,6,6,6,6,5,4,2,3,1,1,6,6,5,1,2,2,1,2,5,1,6,5,3
400,19,"vrouw",1,2,6,5,6,5,5,4,1,3,1,4,1,6,6,5,5,5,5,5,5,4,1,6,5,5
401,28,"man",5,2,5,2,4,2,2,3,2,3,5,5,5,4,2,5,3,4,4,4,4,5,3,5,5,2
402,35,"man",1,2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,2,5,3,5,2,5,2,5,6,1
403,35,"man",1,2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,4,2,5,2,5,2,5,6,1
404,35,"man",1,2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,4,3,4,2,5,2,5,6,1
405,35,"man",1,2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,5,4,4,2,5,2,5,6,1
406,35,"man",1,2,5,5,5,5,5,6,4,2,4,2,2,4,2,4,1,5,4,4,2,5,2,5,6,1
407,35,"man",1,2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,5,4,4,2,5,2,5,6,1
408,35,"man",1,2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,5,4,4,2,5,3,5,6,2
409,32,"vrouw",4,2,5,2,6,5,2,2,2,4,5,2,1,4,5,2,2,2,2,2,1,6,5,2,3,4
410,24,"vrouw",3,4,5,6,6,3,6,6,6,1,1,2,4,4,5,6,6,6,6,3,2,6,1,6,6,1
411,23,"vrouw",1,2,6,6,6,5,6,5,6,4,4,4,1,4,6,5,1,1,1,5,1,6,1,6,6,1
412,39,"man",3,5,4,5,6,4,6,5,6,1,3,5,5,5,5,6,6,6,4,6,5,5,6,4,6,1
413,48,"man",4,2,5,6,5,5,4,5,5,1,,6,5,3,2,5,4,4,1,1,1,6,1,4,6,1
414,26,"vrouw",1,1,4,4,5,4,2,5,2,4,3,6,5,3,5,5,6,6,6,5,6,3,6,4,5,2
415,28,"man",3,4,4,4,5,5,4,4,4,2,4,4,5,4,5,5,4,4,5,3,2,4,5,5,4,2
416,23,"vrouw",1,1,6,6,6,5,6,5,6,5,4,5,1,5,6,5,1,1,2,5,1,6,4,6,6,2
417,24,"man",3,2,6,6,5,4,4,3,5,1,2,5,2,4,2,5,1,1,1,5,1,5,6,2,5,2
418,29,"vrouw",3,2,5,6,6,5,4,4,4,2,4,3,3,5,5,5,2,3,2,2,1,4,2,5,5,3
419,19,"vrouw",,5,4,2,2,1,4,4,3,6,6,4,1,4,2,6,6,6,6,6,6,6,3,1,6,1
420,29,"man",3,6,1,1,4,1,6,6,6,1,1,6,6,1,1,2,1,1,1,1,1,6,5,6,6,4
421,26,"vrouw",3,1,6,6,6,5,6,6,6,1,1,2,3,6,5,6,3,3,3,1,2,6,1,6,5,1
422,15,"vrouw",,4,4,3,4,2,3,4,4,5,5,6,5,2,2,2,5,4,4,5,5,5,5,4,4,3
423,30,"man",3,3,6,6,6,5,5,5,5,1,2,1,1,5,5,6,4,4,3,2,1,6,1,5,5,1
424,36,"vrouw",3,5,6,5,6,5,5,5,5,4,3,3,2,5,6,5,2,3,2,5,4,6,1,5,2,1
425,33,"vrouw",3,1,6,5,6,5,6,4,5,1,1,1,1,5,5,6,4,5,4,1,5,5,6,5,5,2
426,23,"man",3,2,5,4,6,5,3,5,5,1,2,4,3,2,5,6,2,2,1,1,2,5,2,4,3,4
427,22,"vrouw",2,1,6,6,6,6,1,6,6,1,1,1,1,6,6,6,1,4,5,1,1,6,1,6,6,1
428,17,"vrouw",3,2,5,6,5,4,6,6,4,1,5,1,2,4,5,5,5,5,5,2,2,6,1,6,6,1
429,28,"man",2,2,2,2,1,3,3,4,2,5,5,5,6,2,1,1,2,3,1,2,5,6,2,6,6,1
430,36,"vrouw",3,5,4,4,4,3,6,6,6,1,6,3,2,4,4,5,6,6,4,4,3,6,3,5,4,3
431,29,"vrouw",3,2,5,4,4,6,4,3,3,2,4,3,2,4,5,3,1,1,2,4,2,3,4,5,5,3
432,59,"vrouw",5,2,5,5,5,5,2,1,2,5,4,5,5,5,4,2,5,5,5,6,4,5,6,4,6,2
433,19,"vrouw",3,1,5,6,6,5,5,5,6,1,3,3,3,5,6,5,1,2,1,2,2,6,2,5,6,2
434,27,"man",3,3,6,5,6,6,5,3,3,2,2,1,3,6,4,6,5,6,4,5,5,6,1,5,6,1
435,41,"vrouw",4,1,5,1,5,5,5,4,3,2,2,2,4,3,5,4,1,3,5,2,4,4,2,4,5,2
436,27,"vrouw",4,1,5,6,5,5,5,4,4,1,4,1,2,3,6,4,1,1,1,1,2,4,1,4,5,2
437,24,"vrouw",2,2,6,,5,5,6,5,6,2,3,1,1,6,6,6,2,3,4,1,2,6,6,5,4,2
438,60,"vrouw",5,2,5,5,5,4,6,2,4,2,5,1,2,5,5,5,4,5,5,5,4,6,2,5,6,1
439,52,"vrouw",3,1,5,5,6,6,6,1,5,3,1,6,6,1,5,1,4,5,5,6,1,6,5,1,6,4
440,21,"vrouw",3,1,5,6,6,6,6,5,6,1,2,1,1,5,6,,2,4,2,3,5,6,4,6,6,1
441,20,"vrouw",3,3,5,5,6,5,5,5,3,4,1,4,3,4,4,5,5,6,6,2,2,5,2,5,6,3
442,25,"vrouw",3,2,6,6,6,6,5,5,3,1,1,1,4,5,6,4,1,1,1,1,1,5,1,5,3,4
443,24,"vrouw",3,1,6,5,6,6,5,6,5,1,1,3,4,3,6,4,3,4,4,3,5,3,3,4,5,4
444,25,"vrouw",2,2,2,4,3,2,4,3,4,3,4,4,2,1,5,4,4,4,4,5,1,3,2,2,4,4
445,30,"vrouw",2,2,4,4,3,3,4,2,4,4,2,5,3,3,4,4,2,3,3,3,3,4,2,3,3,3
446,19,"vrouw",3,4,2,1,3,1,3,1,2,4,2,3,4,1,3,2,4,5,4,3,3,2,4,2,6,2
447,17,"man",3,6,5,5,6,6,3,1,4,5,2,3,1,6,5,3,1,1,4,3,1,6,6,6,6,3
448,52,"vrouw",3,2,6,6,6,6,6,6,6,1,1,3,6,6,1,6,4,4,1,1,3,6,1,6,2,1
449,27,"vrouw",3,2,5,6,5,4,4,3,4,5,4,1,2,4,6,5,6,6,6,3,2,4,3,2,3,5
450,55,"vrouw",3,1,6,6,6,6,6,6,5,1,4,1,1,6,6,6,4,6,5,2,4,6,5,6,6,1
451,39,"vrouw",5,1,6,2,6,6,5,4,2,1,2,1,1,5,6,5,5,4,4,4,5,6,1,6,5,1
452,39,"vrouw",3,1,6,6,6,6,6,5,5,1,2,2,1,5,5,6,2,4,2,2,4,6,2,6,6,2
453,39,"vrouw",3,1,3,2,6,3,5,5,5,2,4,5,6,1,3,3,3,4,1,4,1,2,6,1,5,3
454,18,"man",3,3,5,2,5,5,4,4,,4,5,4,2,5,3,4,2,4,5,4,4,4,3,5,5,2
455,51,"vrouw",3,2,6,6,2,6,6,3,5,1,2,1,1,5,5,6,1,2,2,1,1,5,1,6,4,1
