"id","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
634,3,4,6,6,5,5,2,3,6,2
635,1,2,1,2,1,6,1,4,6,3
636,4,5,2,4,1,5,5,4,6,1
637,2,1,5,5,1,6,1,5,6,1
638,5,6,6,5,1,4,4,5,4,1
639,5,5,2,4,4,3,3,4,6,5
640,4,4,3,1,4,5,1,6,6,2
641,4,4,4,5,4,4,3,4,5,2
642,5,6,6,6,5,4,5,6,6,2
643,1,1,1,1,1,6,1,6,5,2
644,4,3,3,2,1,5,2,4,4,5
645,1,3,2,2,3,6,2,6,5,3
646,2,2,4,2,2,5,4,5,5,2
647,5,6,6,2,5,5,2,5,6,2
648,1,1,1,1,1,6,1,6,5,2
649,5,6,6,4,5,4,2,3,5,4
650,5,5,6,4,6,5,2,5,6,1
651,3,5,3,3,3,4,2,5,6,4
652,4,3,1,3,1,6,2,2,6,2
653,2,2,2,1,1,5,1,4,6,1
654,4,4,3,2,2,6,1,5,6,1
655,3,3,5,4,6,4,5,6,5,4
656,5,5,5,6,5,2,2,5,4,2
657,3,3,3,2,1,6,3,5,4,5
658,4,5,4,4,4,4,5,4,4,3
659,1,4,3,4,1,4,1,5,5,2
660,5,5,6,5,4,6,1,5,5,2
661,1,2,2,2,2,6,1,3,5,2
662,4,5,3,5,2,6,2,5,5,1
663,4,4,2,2,1,5,1,4,5,2
664,1,2,2,1,2,5,1,4,5,2
665,6,5,4,5,6,2,4,4,6,2
666,1,1,2,3,3,5,3,4,2,5
667,4,6,5,4,1,3,1,4,2,3
668,3,4,2,2,2,4,6,4,5,4
669,2,5,3,3,5,6,1,6,6,5
670,3,3,4,3,3,3,3,3,3,3
671,2,4,1,2,1,3,3,3,4,3
672,1,1,2,2,1,4,1,3,6,2
673,2,2,2,3,3,6,2,4,6,5
674,6,6,6,3,2,5,1,4,3,2
675,1,4,4,1,2,5,6,3,4,3
676,3,3,3,4,2,5,2,4,5,2
677,1,1,1,1,1,6,4,6,6,1
678,4,5,3,4,4,5,3,4,4,5
679,2,5,6,2,6,4,6,4,6,2
680,2,4,4,2,4,5,2,5,4,2
681,5,6,5,4,6,6,6,5,5,2
682,1,1,5,1,1,5,1,4,5,2
683,4,3,2,2,2,5,4,4,4,4
684,2,4,5,4,2,4,4,5,5,1
685,4,4,1,1,3,5,3,4,5,2
686,5,5,6,4,3,5,1,2,5,1
687,3,2,3,2,2,5,4,5,6,2
688,2,2,2,3,2,6,1,6,5,1
689,3,3,4,2,3,5,1,5,5,2
690,3,2,1,1,2,5,1,4,6,2
691,3,5,2,2,2,5,4,5,3,3
692,4,4,5,4,5,6,4,6,6,2
693,3,4,4,2,3,6,1,6,6,1
694,1,1,1,4,1,6,1,5,4,1
695,1,4,1,3,1,6,1,5,6,1
696,3,3,3,3,2,4,2,2,5,2
697,5,6,5,4,5,5,1,5,6,6
698,3,5,4,5,3,6,2,4,6,2
699,1,1,2,2,1,6,4,4,3,2
700,2,3,2,2,5,2,2,3,2,2
701,4,3,5,6,2,2,3,5,5,3
702,2,2,1,1,1,4,3,4,3,2
703,4,3,4,2,4,5,4,4,4,3
704,4,4,4,4,2,4,3,3,5,4
705,4,6,3,2,3,5,2,6,5,5
706,4,5,2,2,2,5,1,4,5,3
707,5,6,5,5,5,2,3,4,6,2
708,2,1,2,6,6,6,2,6,2,3
709,2,3,2,4,1,6,4,4,5,3
710,3,4,3,3,4,5,5,3,4,4
711,4,4,5,6,6,4,2,3,6,4
712,4,5,5,6,2,3,2,5,6,4
713,4,4,4,5,2,5,2,5,6,1
714,3,3,5,4,3,3,2,3,6,2
715,2,4,1,5,5,3,4,2,6,3
716,4,4,4,5,4,4,3,4,4,3
717,3,3,3,2,4,5,1,4,6,2
718,5,2,4,2,4,5,2,5,5,1
719,2,5,3,2,1,5,2,5,5,2
720,2,3,5,5,2,6,4,6,6,2
721,2,2,3,2,2,6,1,5,6,1
722,1,1,2,2,1,2,4,2,4,3
723,4,2,2,3,4,6,4,6,6,1
724,5,4,4,1,1,6,1,6,6,1
725,3,3,3,2,3,4,1,4,3,3
726,5,6,2,4,4,6,1,5,5,2
727,5,5,5,5,4,3,2,4,6,3
728,3,3,2,1,1,4,3,6,5,1
729,3,3,3,3,3,6,2,5,6,2
730,6,6,5,5,4,4,4,4,5,3
731,2,4,4,4,5,3,2,4,6,3
732,3,3,2,3,3,3,4,3,4,4
733,2,2,3,2,2,5,2,5,5,1
734,3,4,4,3,2,6,1,6,6,1
735,4,3,5,2,5,4,2,6,5,2
736,2,3,2,2,3,5,4,4,4,2
737,1,1,1,1,1,6,1,6,5,1
738,5,4,6,6,6,4,6,4,6,1
739,4,4,4,3,2,4,3,5,4,3
740,2,3,2,2,3,4,2,5,5,2
741,4,4,2,2,3,3,2,5,3,3
742,2,2,5,1,3,5,3,3,3,3
743,2,4,2,3,1,5,2,2,5,2
744,5,5,5,5,5,4,5,5,6,3
745,2,5,1,1,1,6,1,6,6,5
746,3,3,1,2,3,4,4,5,4,2
747,5,6,6,4,5,5,2,5,6,2
748,4,1,3,2,5,5,2,6,6,1
749,1,4,3,2,2,3,5,4,5,1
750,2,2,1,1,1,6,1,6,6,1
751,6,4,5,3,5,1,6,1,2,6
752,1,3,6,5,4,5,1,4,6,1
753,5,6,5,1,6,5,3,6,5,1
754,5,5,5,4,3,4,6,3,6,2
755,2,4,2,1,5,4,4,4,5,3
756,4,2,1,2,1,6,1,6,6,1
757,4,5,5,2,2,5,1,5,5,2
758,2,5,1,1,1,6,1,6,1,1
759,4,5,1,3,4,5,3,5,5,2
760,1,1,4,4,1,6,1,5,6,1
761,2,2,2,4,6,5,2,4,2,4
762,2,3,3,2,3,5,3,5,4,2
763,4,4,4,2,2,5,2,6,4,4
764,2,2,2,1,2,5,2,4,5,2
765,4,4,5,4,5,4,2,5,6,1
766,6,5,5,5,5,3,6,2,5,4
767,1,2,1,1,1,4,2,4,5,2
768,4,2,1,1,4,4,2,4,4,3
769,6,5,3,5,6,3,2,5,3,3
770,4,3,1,1,1,5,1,4,3,1
771,3,5,4,3,4,5,2,5,4,2
772,2,2,5,6,6,5,1,5,6,1
773,1,4,4,4,4,6,1,6,6,1
774,1,2,4,2,1,4,1,5,5,4
775,3,4,5,5,2,4,5,2,5,2
776,1,1,2,1,1,6,3,5,5,2
777,2,4,2,2,1,5,4,4,4,4
778,1,1,2,4,2,5,1,5,5,1
779,2,2,1,1,2,5,6,2,2,4
780,3,2,4,4,1,5,1,5,5,2
781,1,1,1,1,2,5,3,1,2,3
782,4,4,4,1,4,4,6,4,4,4
783,6,6,4,6,3,5,5,5,6,2
784,6,4,1,4,6,1,1,6,6,2
785,2,2,3,3,3,5,4,5,6,3
786,2,3,2,2,4,6,4,5,6,3
787,2,5,6,2,6,5,2,5,5,1
788,5,6,6,6,6,1,6,2,5,6
789,3,4,5,4,4,4,1,2,4,3
790,2,1,2,2,2,3,1,3,3,2
791,5,5,3,4,1,4,4,4,6,4
792,1,4,1,1,1,6,2,6,6,1
793,1,3,1,1,1,6,2,6,4,1
794,1,1,1,1,2,5,2,4,5,3
795,1,1,3,4,3,5,4,3,3,2
796,1,4,3,4,5,4,1,5,6,3
797,4,4,5,4,3,4,1,5,6,3
798,3,2,2,6,5,3,5,3,5,4
799,1,3,3,1,2,5,4,4,4,3
800,6,6,5,5,5,5,3,5,6,5
801,4,5,5,4,6,6,2,5,6,2
802,4,5,6,6,5,4,4,5,6,2
803,1,4,4,2,1,5,2,3,4,4
804,4,5,5,2,2,6,5,3,6,2
805,3,3,3,3,4,4,1,6,4,1
806,2,3,2,1,1,5,2,4,4,2
807,5,5,4,6,4,6,5,5,5,5
808,1,1,1,1,1,2,4,2,3,5
809,1,2,2,5,3,6,2,5,6,1
810,5,6,4,5,5,6,6,2,2,3
811,4,4,2,3,1,4,4,4,5,3
812,5,6,6,5,4,5,1,6,6,1
813,1,1,1,1,1,6,2,5,2,1
814,1,6,1,6,1,6,6,1,6,1
815,5,4,3,2,2,6,1,6,6,1
816,1,4,5,5,6,5,5,5,6,5
817,6,6,6,5,4,4,2,3,5,1
818,1,1,4,6,1,4,1,4,6,4
819,3,2,3,2,1,4,3,4,5,3
820,1,1,2,4,2,5,1,5,5,2
821,2,2,5,4,1,6,1,5,6,1
822,1,4,1,2,1,5,1,5,5,3
823,5,5,5,6,5,5,2,5,6,6
824,1,4,1,1,1,5,1,5,5,1
825,2,4,2,2,1,1,4,5,5,3
826,1,4,5,5,6,4,4,5,6,6
827,1,2,4,5,1,3,6,4,6,4
828,3,3,2,3,3,5,1,5,6,2
829,2,3,2,1,1,5,5,4,3,2
830,4,4,4,3,3,6,2,4,6,2
831,4,4,4,4,4,6,2,4,4,4
832,3,3,1,4,3,4,6,4,6,3
833,1,4,1,2,4,6,4,4,1,1
834,1,6,5,4,6,2,6,1,6,1
835,1,1,5,5,6,4,5,5,5,4
836,5,5,5,5,3,5,3,4,6,2
837,1,2,2,3,1,6,1,4,1,3
838,4,5,2,5,5,6,2,4,6,6
839,2,3,5,5,2,6,1,5,6,2
840,3,3,2,4,3,6,1,5,5,1
841,6,6,5,6,6,6,4,6,6,1
842,3,4,2,1,2,4,2,5,6,2
843,3,4,1,1,1,4,3,3,4,1
844,2,3,4,5,5,3,2,1,5,3
845,6,6,5,1,2,6,2,5,6,1
846,3,2,1,2,1,4,3,3,4,2
847,1,5,1,1,1,5,1,6,6,2
848,4,5,4,3,4,3,5,4,6,2
849,3,2,2,5,1,6,1,5,6,1
850,2,4,4,3,3,5,1,4,6,2
851,2,2,3,5,5,5,6,4,3,4
852,4,5,5,6,6,6,4,4,6,2
853,3,4,3,1,4,3,3,4,2,3
854,2,4,2,2,5,4,4,6,6,3
855,2,3,2,2,4,5,4,4,5,3
856,1,2,2,1,1,6,2,6,6,1
857,3,2,3,4,2,4,5,4,4,3
858,1,2,1,2,1,6,1,5,6,1
859,4,4,4,5,3,4,4,3,5,4
860,5,5,5,5,4,5,2,5,6,1
861,1,2,4,4,2,5,3,6,6,2
862,2,3,2,5,2,6,1,6,6,1
863,4,3,2,2,2,6,1,5,5,5
864,5,3,4,4,4,6,4,4,4,5
865,2,4,2,2,2,6,1,6,6,1
866,5,5,5,5,1,2,2,5,5,2
867,2,2,4,5,2,6,2,5,6,1
868,3,3,3,2,3,4,5,3,4,4
869,2,2,2,1,3,6,1,5,6,1
870,6,6,6,4,2,5,2,4,6,3
871,2,4,5,5,4,5,2,4,5,2
872,5,3,2,2,2,5,3,3,5,3
873,1,1,3,4,1,6,2,4,3,1
874,4,5,5,5,5,2,4,2,2,3
875,1,2,2,6,2,6,1,5,6,1
876,6,6,6,6,5,3,5,3,5,3
877,2,4,5,6,3,3,4,4,5,2
878,3,3,1,2,6,6,6,5,6,4
879,4,4,5,5,5,2,6,2,4,5
880,3,4,5,4,2,3,1,2,4,2
881,1,1,1,1,1,6,1,6,2,1
882,5,5,4,4,1,4,5,2,5,6
883,4,4,3,6,4,6,2,5,6,4
884,4,4,4,3,4,2,5,2,6,4
885,4,5,2,4,3,5,2,2,5,5
886,1,3,3,1,2,3,1,5,5,3
887,2,2,5,6,1,6,6,6,6,1
888,3,3,2,3,1,6,1,6,6,2
889,2,4,4,4,3,5,6,4,6,4
890,2,4,4,2,2,5,5,5,4,4
891,2,4,3,2,2,4,4,4,6,4
892,4,6,2,4,1,6,4,4,5,2
893,6,6,5,6,6,3,5,5,6,3
894,1,1,2,2,1,5,1,5,6,2
895,3,5,3,4,5,3,5,3,4,5
896,1,1,3,4,4,3,1,4,6,3
897,3,3,3,2,1,6,6,4,6,2
898,4,4,4,3,2,6,2,5,3,2
899,5,5,5,4,3,4,4,4,4,3
900,3,4,4,5,4,5,1,5,4,1
901,3,2,2,1,4,4,5,3,5,5
902,4,5,3,4,2,5,2,4,5,2
903,2,2,2,2,2,4,3,4,5,2
904,1,1,1,2,3,6,1,6,6,3
905,3,5,4,4,3,5,4,5,5,2
906,1,6,1,6,1,6,1,6,6,1
907,5,4,2,5,1,2,2,5,4,2
908,4,2,1,2,1,5,1,6,5,2
909,2,5,5,4,1,5,5,6,6,1
910,6,6,5,5,5,5,1,5,6,3
911,6,6,6,4,3,5,1,6,2,3
912,3,2,1,1,2,5,2,5,5,3
913,4,5,4,4,4,5,3,6,5,4
914,2,2,2,4,3,5,2,4,5,3
915,4,5,4,4,3,6,4,5,4,6
916,5,4,5,2,4,6,5,5,5,1
917,2,2,2,1,2,4,4,4,2,4
918,6,6,6,3,1,2,4,5,6,2
919,6,6,6,6,6,3,5,1,6,5
920,4,4,5,1,1,6,1,5,6,2
921,1,2,2,5,3,5,2,4,5,2
922,2,3,3,3,2,4,4,4,3,3
923,5,5,3,3,2,3,2,5,6,3
924,4,4,4,3,6,6,1,6,6,1
925,4,4,4,4,2,6,1,6,2,1
926,4,4,2,4,4,5,4,4,6,4
927,2,3,1,1,2,5,4,6,4,1
928,3,3,2,4,4,3,4,4,6,4
929,2,1,4,1,1,4,1,6,2,2
930,3,3,4,2,2,4,3,3,6,4
931,5,6,6,3,2,6,1,5,5,3
932,4,5,5,2,2,4,1,5,6,3
933,2,2,3,5,2,5,3,3,5,2
934,1,3,1,3,1,5,2,5,5,1
935,1,1,1,1,1,5,2,6,6,2
936,4,5,5,4,4,5,4,5,5,3
937,5,2,2,1,1,5,1,6,1,1
938,6,6,6,6,2,6,1,6,6,3
939,1,1,2,2,2,4,2,4,5,3
940,4,4,2,3,1,5,1,5,5,2
941,4,5,4,4,3,5,2,4,5,2
942,6,6,6,6,2,5,3,4,6,1
943,2,6,6,5,6,3,4,1,4,3
944,3,5,5,4,4,4,2,4,5,3
945,1,4,4,4,2,6,4,3,5,5
946,4,4,4,3,2,3,4,3,3,4
947,1,2,2,5,4,6,5,5,6,1
948,6,6,2,6,6,6,1,6,3,1
949,5,5,5,6,4,6,1,6,6,6
950,1,1,1,1,2,5,1,4,4,2
951,1,1,1,1,1,6,1,6,1,1
952,4,2,4,3,2,4,2,4,4,4
953,4,4,4,3,2,4,2,5,6,1
954,1,2,2,1,2,6,1,6,5,2
955,1,3,6,6,6,6,4,3,6,1
956,2,2,2,4,1,5,1,5,6,1
957,3,3,4,3,5,5,4,3,5,4
958,1,2,1,2,1,5,2,6,4,2
959,4,4,3,3,4,2,3,4,3,3
960,2,2,2,2,2,3,3,4,3,3
961,1,2,2,2,5,4,2,5,2,3
962,6,6,6,6,5,4,3,3,5,3
963,1,3,4,2,4,4,4,3,4,3
964,3,4,2,3,5,6,2,4,6,5
965,1,2,3,1,2,3,4,5,4,2
966,6,6,5,4,1,3,2,4,6,4
967,2,2,6,6,5,6,1,5,6,3
968,5,5,4,2,6,6,3,4,6,5
969,2,2,1,1,2,6,1,5,6,1
970,2,2,1,1,1,6,1,6,6,1
971,3,2,2,2,2,2,3,4,3,4
972,5,4,5,1,2,5,2,5,3,1
973,6,6,6,4,2,4,2,4,4,3
974,2,2,1,2,1,2,5,2,5,1
975,2,2,2,4,4,5,2,4,5,1
976,1,4,1,5,1,6,1,5,3,1
977,1,4,1,1,3,5,1,4,5,2
978,5,4,4,6,3,2,3,1,4,3
979,1,1,1,4,1,5,4,2,6,2
980,1,3,2,2,2,6,3,5,4,3
981,2,3,4,3,2,5,2,5,5,3
982,5,5,5,4,1,6,2,6,6,1
983,3,3,1,3,2,3,3,2,4,3
984,1,1,1,1,1,6,1,5,4,4
985,5,5,4,6,3,6,4,5,6,5
986,3,4,4,3,4,5,1,5,5,2
987,2,3,3,2,5,5,1,5,6,2
988,1,2,4,3,2,6,1,6,4,1
989,5,5,4,2,2,6,1,5,6,2
990,3,4,4,1,3,4,4,4,5,2
991,2,3,2,5,6,6,5,5,6,3
992,1,1,2,4,6,6,1,5,6,3
993,1,4,4,5,6,6,2,4,5,2
994,5,6,5,3,4,6,1,5,6,2
995,1,1,1,1,1,6,2,5,6,6
996,4,4,2,2,2,5,5,5,4,2
997,2,4,2,2,3,3,4,4,3,3
998,5,5,6,4,4,5,2,3,5,1
999,3,5,1,1,1,6,2,5,5,5
1000,3,4,4,5,2,5,1,5,6,2
1001,1,2,1,2,1,5,2,5,5,2
1002,3,3,4,5,3,6,2,5,6,2
1003,4,5,2,4,2,5,1,6,4,1
1004,2,2,1,1,1,6,1,5,6,1
1005,2,4,1,1,1,5,1,4,3,2
1006,5,5,5,4,2,5,4,6,6,1
1007,4,5,4,2,4,6,6,6,5,3
1008,1,4,1,2,1,5,2,6,4,1
1009,2,3,2,2,2,4,3,6,5,3
1010,2,5,4,2,6,5,4,5,6,1
1011,5,6,6,2,4,4,5,3,2,4
1012,1,1,1,1,1,5,2,5,5,2
1013,3,5,4,3,1,5,1,4,4,3
1014,1,1,3,2,4,6,1,6,6,1
1015,5,4,6,5,5,6,4,5,6,2
1016,3,3,2,3,1,4,2,4,6,2
1017,1,2,2,2,3,5,2,5,5,2
1018,2,2,2,4,2,3,3,2,5,2
1019,1,2,2,2,2,2,1,3,6,1
1020,1,2,2,1,1,6,3,3,3,4
1021,1,1,1,2,2,6,1,6,6,1
1022,1,1,1,1,3,5,3,5,5,2
1023,3,4,4,1,2,5,6,4,4,4
1024,1,2,2,2,2,4,5,2,6,2
1025,3,2,2,2,4,4,4,4,2,4
1026,2,3,2,3,4,5,1,5,4,1
1027,6,5,5,4,2,5,3,4,6,3
1028,4,4,3,1,1,6,3,6,4,1
1029,1,1,3,2,1,5,1,4,6,1
1030,3,4,5,5,6,5,3,5,6,2
1031,2,2,4,4,4,6,2,6,6,2
1032,6,6,6,5,4,6,1,3,3,3
1033,5,5,5,2,1,5,2,6,5,1
1034,3,3,2,5,6,5,2,5,6,1
1035,1,2,4,3,2,6,2,5,6,2
1036,1,4,4,6,6,6,4,6,1,1
1037,4,6,5,2,2,4,5,3,6,4
1038,6,6,6,3,6,6,1,6,6,1
1039,1,1,5,5,1,6,3,2,6,4
1040,2,3,4,3,1,4,2,4,5,3
1041,1,2,5,5,5,5,1,5,5,2
1042,2,5,5,6,5,6,3,5,6,1
1043,1,2,1,1,1,6,1,5,6,1
1044,2,3,3,3,3,5,3,1,6,4
1045,3,3,5,6,3,5,1,6,6,1
1046,1,1,1,1,1,6,1,6,4,1
1047,3,5,4,3,2,4,2,4,5,2
1048,2,2,1,2,3,6,2,6,5,1
1049,6,6,5,4,6,5,6,5,6,5
1050,1,1,1,5,2,5,2,5,6,1
1051,2,2,2,5,3,2,5,4,3,5
1052,2,2,4,3,2,2,4,4,4,4
1053,2,3,2,4,2,4,2,2,6,3
1054,2,4,6,5,1,6,1,5,6,1
1055,1,2,2,1,4,5,4,5,6,1
1056,2,2,4,2,1,6,2,4,5,1
1057,4,4,3,4,2,6,1,5,5,1
1058,4,4,4,4,3,5,3,4,5,1
1059,2,3,4,4,3,6,2,4,5,3
1060,4,6,4,1,1,6,1,6,6,1
1061,1,1,2,2,2,5,3,5,6,1
1062,3,4,3,2,4,4,3,5,5,2
1063,3,5,3,2,4,6,5,1,3,5
1064,1,2,1,2,1,5,3,5,5,3
1065,3,5,4,5,5,6,6,1,4,5
1066,2,5,3,2,4,5,2,2,6,2
1067,2,4,5,5,4,6,1,5,6,1
1068,1,1,1,1,1,5,1,6,6,1
1069,2,3,2,4,1,3,2,6,5,1
1070,1,2,6,1,4,6,1,2,6,5
1071,3,2,1,5,1,6,6,6,5,4
1072,1,2,4,4,1,6,5,6,6,1
1073,1,1,1,1,1,6,1,6,6,2
1074,1,1,2,2,1,6,4,5,5,2
1075,2,4,3,4,3,6,1,3,5,2
1076,3,1,2,1,2,5,5,4,3,3
1077,3,2,3,5,3,3,3,4,6,2
1078,2,2,5,4,3,5,4,3,6,3
1079,6,6,4,5,6,4,4,3,5,4
1080,5,5,5,4,5,3,3,4,5,2
1081,6,6,5,6,6,5,1,6,6,1
1082,2,4,1,6,1,6,1,1,6,1
1083,1,2,2,4,4,4,5,3,2,2
1084,1,1,1,1,1,6,1,4,6,2
1085,2,2,1,1,1,6,1,5,6,4
1086,2,3,4,3,6,3,4,4,5,4
1087,2,4,5,1,1,5,6,4,6,2
1088,1,1,1,1,4,5,5,4,6,2
1089,3,4,5,1,4,4,3,4,6,3
1090,2,5,4,4,2,6,2,6,6,1
1091,2,4,2,2,2,5,1,4,5,3
1092,2,4,1,5,1,6,1,4,6,1
1093,1,2,6,4,6,6,2,6,6,5
1094,4,4,4,3,2,5,2,6,6,1
1095,2,4,5,5,1,6,1,6,6,1
1096,1,1,2,4,5,2,1,5,5,2
1097,2,2,3,4,3,6,1,3,6,2
1098,2,2,2,2,2,5,3,4,2,2
1099,3,4,2,1,2,6,4,5,5,3
1100,2,2,2,1,4,5,2,6,6,1
1101,4,4,4,5,6,6,4,5,6,2
1102,4,5,4,3,4,5,2,4,3,3
1103,2,3,1,1,2,5,1,5,4,3
1104,2,3,3,2,3,5,2,6,6,5
1105,2,2,4,4,2,5,2,4,5,2
1106,4,4,4,4,4,6,2,5,6,2
1107,3,3,2,1,2,6,4,5,5,2
1108,5,5,5,3,5,4,5,3,4,3
1109,3,4,3,3,2,5,4,5,5,1
1110,4,4,6,4,4,5,4,6,6,1
1111,1,1,1,1,1,6,1,6,1,6
1112,5,4,2,5,2,6,2,2,6,2
1113,3,4,5,5,2,4,4,3,6,2
1114,6,6,6,5,6,6,1,5,5,1
1115,5,5,4,5,3,4,1,4,4,4
1116,2,3,2,3,1,4,2,5,5,3
1117,2,5,4,2,1,5,2,5,6,4
1118,2,4,4,4,2,6,2,5,5,2
1119,2,3,5,4,4,4,4,5,6,2
1120,2,3,2,3,5,6,5,6,6,3
1121,3,4,4,4,4,5,1,5,5,2
1122,2,4,2,4,2,5,2,6,6,2
1123,5,3,4,6,2,5,1,1,5,3
1124,2,4,1,1,1,5,2,6,6,2
1125,2,2,2,2,6,3,4,4,4,3
1126,1,2,1,3,2,3,2,4,4,4
1127,1,3,1,1,5,4,4,5,4,4
1128,1,1,1,3,2,6,2,4,5,2
1129,5,4,5,5,5,5,3,5,6,1
1130,4,4,4,4,2,5,3,5,5,2
1131,1,2,2,2,2,6,1,6,5,1
1132,5,5,2,6,3,2,5,2,5,3
1133,6,5,6,6,4,5,1,5,6,1
1134,1,2,1,4,4,5,4,4,5,2
1135,2,2,2,2,2,5,2,4,1,2
1136,6,6,6,6,3,1,1,1,6,2
1137,1,2,1,1,1,6,1,6,5,1
1138,4,2,2,2,3,6,2,3,5,4
1139,4,4,4,3,4,5,3,3,5,2
1140,6,6,6,6,6,6,1,6,2,2
1141,5,5,5,4,2,6,1,5,6,2
1142,2,2,3,3,1,5,1,5,4,3
1143,1,3,3,2,2,6,3,6,5,3
1144,5,5,2,5,6,6,2,6,6,2
1145,1,2,2,5,5,4,1,2,5,1
1146,1,1,2,4,4,6,2,5,5,2
1147,5,5,4,4,4,5,4,3,6,3
1148,4,4,2,3,2,6,3,4,5,2
1149,2,3,5,4,1,6,3,5,6,2
1150,2,2,2,2,6,3,3,4,6,1
1151,3,2,3,1,3,6,3,4,5,4
1152,2,2,2,5,3,6,3,4,2,2
1153,5,5,4,6,5,4,5,2,5,4
1154,2,3,1,2,2,6,1,6,6,1
1155,5,4,4,3,4,5,2,4,6,2
1156,1,2,1,2,1,4,3,4,5,2
1157,5,5,5,6,6,6,6,5,6,4
1158,1,1,1,1,1,5,2,6,6,2
1159,4,5,5,5,4,5,5,4,6,2
1160,6,6,6,6,3,6,3,6,6,1
1161,3,4,4,6,4,5,3,4,5,2
1162,1,3,1,2,1,6,1,6,4,4
1163,4,1,1,2,4,6,1,6,5,1
1164,5,5,4,5,4,5,2,2,5,4
1165,4,4,2,3,2,5,3,6,6,2
1166,5,5,2,4,4,6,1,4,6,1
1167,1,1,2,2,2,4,3,6,6,1
1168,3,4,4,4,3,6,3,6,6,2
1169,3,4,4,4,4,5,2,3,4,5
1170,2,4,1,2,4,5,1,4,4,3
1171,2,2,4,3,2,5,3,5,4,3
1172,1,2,2,1,1,6,1,5,5,3
1173,1,2,1,1,2,6,4,5,4,1
1174,3,3,4,5,5,3,2,3,5,3
1175,6,6,6,6,6,6,1,3,6,1
1176,1,1,1,1,2,6,4,5,6,1
1177,1,3,4,4,4,5,4,4,5,2
1178,4,6,2,1,4,4,6,4,5,4
1179,3,3,2,2,2,4,2,4,3,4
1180,1,3,3,1,1,5,2,6,6,1
1181,1,4,1,3,2,5,2,5,5,1
1182,1,2,2,4,3,4,4,4,4,3
1183,4,4,5,4,6,3,5,3,5,2
1184,3,1,2,1,1,5,4,4,3,2
1185,2,4,1,2,2,4,5,4,5,4
1186,4,4,2,4,2,5,3,5,5,1
1187,6,6,6,6,6,6,1,6,6,1
1188,1,1,2,1,1,6,1,5,6,1
1189,1,1,1,1,1,4,4,4,5,4
1190,3,4,3,6,4,6,1,6,6,6
1191,2,2,2,4,4,5,4,4,4,4
1192,4,5,4,4,2,4,6,4,6,3
1193,5,6,5,4,5,5,3,5,5,2
1194,1,2,1,3,2,4,2,5,5,3
1195,1,4,1,1,1,6,2,6,6,2
1196,2,3,3,2,2,6,2,5,6,2
1197,2,3,2,5,1,6,1,6,6,2
1198,3,2,4,2,1,6,2,3,5,4
1199,5,5,6,5,5,5,2,5,6,2
1200,4,3,2,2,3,5,3,4,5,4
1201,4,3,6,5,6,1,6,2,6,2
1202,3,2,2,2,2,5,2,4,5,4
1203,5,5,6,6,2,4,2,2,6,3
1204,2,2,1,1,2,5,3,3,5,3
1205,3,4,4,2,6,4,5,4,1,1
1206,1,4,1,1,1,5,1,5,1,5
1207,2,2,2,3,3,3,2,4,5,1
1208,5,6,4,5,5,3,2,5,5,2
1209,2,2,2,2,2,4,2,1,4,4
1210,3,4,2,2,2,5,3,3,4,2
1211,4,5,4,3,4,4,1,4,5,2
1212,3,4,6,4,3,4,2,4,5,4
1213,1,1,2,5,5,3,2,3,5,2
1214,1,4,4,3,2,4,3,1,4,3
1215,2,3,2,3,2,4,3,4,5,3
1216,5,6,5,6,1,5,2,4,6,4
1217,2,5,5,6,2,5,2,5,6,1
1218,4,6,2,6,3,6,1,5,1,5
1219,5,5,6,6,4,6,5,4,6,6
1220,2,2,5,4,2,6,3,5,6,2
1221,2,2,2,4,2,4,2,4,4,3
1222,2,5,4,6,1,6,5,1,6,5
1223,2,2,1,1,1,5,2,6,5,1
1224,2,2,1,1,1,5,2,5,5,1
1225,4,5,4,5,2,6,3,5,5,2
1226,1,2,4,2,1,6,1,6,5,1
1227,4,4,3,4,4,2,5,1,4,4
1228,1,2,3,4,1,4,1,4,4,3
1229,2,3,4,3,3,4,2,3,4,3
1230,1,2,3,2,2,4,1,6,6,1
1231,5,5,5,4,5,6,1,5,5,1
1232,3,3,2,2,3,5,3,5,5,2
1233,4,4,1,1,1,5,1,5,4,1
1234,3,4,4,5,5,5,3,2,6,1
1235,3,4,2,4,1,5,4,5,6,1
1236,2,2,4,2,1,5,3,5,6,2
1237,1,5,1,4,2,4,2,3,4,3
1238,2,2,2,2,1,6,1,6,6,1
1239,1,1,1,2,1,5,5,4,6,4
1240,2,2,2,1,1,6,2,5,4,1
1241,3,5,2,4,4,4,2,4,6,2
1242,3,4,2,1,3,4,6,3,6,3
1243,5,4,3,2,4,4,2,4,6,3
1244,1,1,1,1,1,6,4,4,4,2
1245,3,2,3,3,2,4,5,4,5,4
1246,2,2,3,1,2,6,1,5,4,3
1247,1,2,4,3,5,5,6,1,6,3
1248,3,2,5,3,3,5,2,5,5,3
1249,3,4,4,2,2,4,6,4,2,3
1250,6,6,6,6,6,6,5,4,6,4
1251,2,3,2,1,2,4,1,2,5,3
1252,6,6,6,6,5,3,4,5,6,3
1253,4,5,2,3,3,4,3,4,5,4
1254,6,5,5,6,5,6,1,6,6,1
1255,3,4,4,4,5,5,5,4,2,4
1256,2,4,3,2,3,5,3,5,5,1
